Query	Website	Product Name	Link	Price	Description
blue sofa	https://www.mybobs.com/	Lola Spa Blue Sofa with Chair & Storage Ottoman	https://www.mybobs.com/furniture/living-room/living-room-sets/p/20083581	1297.0	Let your creative juices flow with my contemporary living room set! It’s got four funky scribble-print pillows those clean geometric lines to add a bit of artsy flair. And it doesn’t just look cool—My Bob-O-Pedic Memory Foam gives you so much comfort, plus you'll find storage space in the ottoman!
blue sofa	https://www.mybobs.com/	Dream Navy 88'' 2 Piece Modular Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/20067524	1200.0	Imagine being able to create living room seating the way you want it. That's where my Dream 2 Piece Modular Sofa comes in! In addition to the two included accent pillows, this easy-to-match sofa is also modular- meaning you can fit it in most spaces to customize your look! Did I mention the oversized, Bob-O-Pedic loaded cushions are reversible and contain a cozy jersey knit-like fabric and feather blend topper? Sigh. So many features to daydream about with this gamechanger!
blue sofa	https://www.mybobs.com/	Dream Navy 131'' 3 Piece Modular Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/20067522	1700.0	Imagine being able to create living room seating the way you want it. That's where my Dream 3 Piece Modular Sofa comes in! In addition to the two included accent pillows, this easy-to-match sofa is also modular- meaning you can fit it in most spaces to customize your look! Did I mention the oversized, Bob-O-Pedic loaded cushions that happen to be reversible, and the cozy jersey knit-like fabric and feather blend pillows?! Sigh. So many features to daydream about with this gamechanger!
blue sofa	https://www.mybobs.com/	Nova Navy 2 Piece Right Arm Facing Sectional	https://www.mybobs.com/furniture/living-room/sectionals/p/20074729	899.0	My Nova 2 Piece Right Arm Facing Sectional is truly stellar! Made of polypropylene and polyester fabric, this stylish sectional will wow guests with its plush Bob-O-Pedic Memory Foam seating. The classic roll arm adds tons of style, while the trendy accent pillows add personality to this easy-to-match piece. You'll thank your lucky stars that you found this untouchable value!
blue sofa	https://www.mybobs.com/	Playground Navy 2 Piece Left Arm Facing Sectional with Pop Up Sleeper	https://www.mybobs.com/furniture/living-room/sectionals/p/20077376	1799.0	My Playground sectional is just full of surprises! With Bob-O-Pedic Memory Foam and four stylish accent pillows, this contemporary style sectional is just what you're living space needs. It even contains plenty of storage space if you lift up the chaise! And with all that seating, having your friends and family over will be a breeze! But I saved the best for last- you can easily transform it into a sleeper with the pop-up function of the loveseat. Talk about convenience and style at a price you can afford!
blue sofa	https://www.mybobs.com/	Pete Blue Loveseat	https://www.mybobs.com/outlet/living-room-outlet/p/20086525	399.01	You've never known a loveseat as comfy as my Pete. Soft-to-the-touch polyester fabric and included accent pillows make for the most alluring siesta station or late-night binge watching session.
blue sofa	https://www.mybobs.com/	Reeves Blue 79'' Convertible Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/2179001001	649.99	Get yourself a sofa that can do it all! In one easy motion, you can transform my convertible sofa into a foam sleeper mattress. And, I’ve included storage under the seat cushions—just lift and fill it up with your cozy accessories. You’ll also love the stain-resistant performance fabric, which makes life easier.
blue sofa	https://www.mybobs.com/	Playscape Denim 2 Piece Right Arm Facing Sectional	https://www.mybobs.com/furniture/living-room/sectionals/p/20083037	999.0	Solve your design dilemma with my gracious Playscape sectional. Create plush seating with hidden storage in the chaise, perfect for the five included accent pillows or your extra throw blankets. You'll especially love the layer of Bob-O-Pedic Memory Foam seating and the tight woven feel of the fabric! This pop-up sleeper sofa makes an excellent addition to apartment living, small spaces, finished basements or a guest bedroom!
blue sofa	https://www.mybobs.com/	Nova Navy 3 Piece Dual Chaise Sectional	https://www.mybobs.com/furniture/living-room/sectionals/p/20074778	1100.0	My Nova sectional is truly stellar! Made of a super cozy polyester fabric, this stylish sectional will wow guests with its trendy accent pillows, plush Bob-O-Pedic Memory Foam seating, and classic roll arms. You'll thank your lucky stars that you found this untouchable value!
blue sofa	https://www.mybobs.com/	Bolt Navy 116'' Power Reclining Sofa	https://www.mybobs.com/furniture/living-room/sofas-couches/p/20082650	1899.0	Run—don’t walk—to experience my uber-comfy Bolt sectional! Adjust your power headrest and zero-gravity recline for total relaxation, and keep your devices charging right by your side.
blue sofa	https://www.mybobs.com/	Avalon Light Blue 2 Piece Left Arm Facing Sectional with Ottoman	https://www.mybobs.com/furniture/living-room/living-room-sets/p/20086384	1598.0	Enjoy a sectional that's as contemporary as it is comfortable with my Avalon. The modern tufted cushions are stuffed to the brim with my acclaimed Bob-O-Pedic Memory Foam and wrapped in an ultra-cozy polyester fabric for your seating pleasure! And since I never skimp on storage, my ottoman lifts up to reveal plenty of space for extra linens or your favorite board games.
